task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
223	32/a08e63	38732	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (D0465287_S01_L001)	COMPLETED	0	2025-04-17 17:03:33.676	3.9s	2s	100.6%	6.7 MB	28.1 MB	42.3 MB	104.2 KB
225	c9/866a83	38807	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (D2306186_S01_L001)	COMPLETED	0	2025-04-17 17:03:34.512	3.7s	0ms	92.1%	4.2 MB	26.6 MB	18.8 MB	6.7 KB
224	09/684814	38772	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (D0465287_S01_L001)	COMPLETED	0	2025-04-17 17:03:33.861	4.6s	0ms	92.9%	4.2 MB	26.6 MB	42.3 MB	765 B
229	9d/e499b4	38884	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (D1212247_S01_L001)	COMPLETED	0	2025-04-17 17:03:35.179	3.6s	0ms	100.0%	2.8 MB	11 MB	63.9 KB	1.2 KB
228	38/6ee322	38844	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (D1212247_S01_L001)	COMPLETED	0	2025-04-17 17:03:34.885	4s	1s	98.8%	7 MB	28.1 MB	30 MB	131.6 KB
230	01/5b3fc1	39003	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (D0331520_S01_L001)	COMPLETED	0	2025-04-17 17:03:38.232	2.5s	0ms	100.0%	2.8 MB	11 MB	63.8 KB	1.1 KB
124	22/30f803	38251	NFCORE_BACTMAP:BACTMAP:BWA_MEM (D1816817_S01_L001)	COMPLETED	0	2025-04-17 17:03:24.753	16.5s	13s	229.4%	203.5 MB	628.1 MB	300.2 MB	295.6 MB
227	64/76407a	38963	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (D1212247_S01_L001)	COMPLETED	0	2025-04-17 17:03:37.596	4.1s	0ms	88.1%	4.3 MB	26.6 MB	30 MB	763 B
123	8d/04115c	37932	NFCORE_BACTMAP:BACTMAP:BWA_MEM (D0372208_S01_L001)	COMPLETED	0	2025-04-17 17:03:20.745	21.3s	18s	239.6%	206.1 MB	747.2 MB	408.1 MB	415.1 MB
231	92/885198	39076	NFCORE_BACTMAP:BACTMAP:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (D0331520_S01_L001)	COMPLETED	0	2025-04-17 17:03:38.749	3.4s	0ms	97.4%	4.2 MB	26.6 MB	42.3 MB	764 B
